August-Total Enrolled International Students-F1 Visa,906
August-Total Enrolled International Students-J1 Visa,0
August-Total Enrolled International Students-Other,11
August-Total Graduated Student Served-OPT (approved only),157
August-Total Graduated Student Served-STEM (approved only),108
August-Total Advising Meetings Held-Individual Advising Appointments,16
August-Total Advising Meetings Held-Drop-In Advising-Zoom,0
August-Total Advising Meetings Held-Drop-In Advising-In Person,0
August-Total Advising Meetings Held-Phone Call Advising (# of Zoom phone calls),103
August-Applications Processed-OPT Applications,0
August-Applications Processed-STEM Applications,0
August-Applications Processed-CPT Applications (outside the US counted),1
August-Applications Processed-Reinstatements (date paperwork processed),1
August-Applications Processed-Leave of Absence (date terminated),0
August-Applications Processed-Exchange Student Applications,0
August-Applications Processed-Transfer Out,0
August-Letters Issued-SSN Letters Issued,10
August-Letters Issued-Driver's License/State ID Letters Issued,8
August-Letters Issued-Invitation Letter,0
August-Letters Issued-Request for Visa Outside the US,0
August-Reporting-OPT Updates (pull from Formsite),38
August-Reporting-STEM Updates,21
August-Reporting-"I-20 Updates (address, change of name, major, etc)",24
August-Programming-Events held,2
September-Total Enrolled International Students-F1 Visa,904
September-Total Enrolled International Students-J1 Visa,2
September-Total Enrolled International Students-Other,10
September-Total Graduated Student Served-OPT (approved only),155
September-Total Graduated Student Served-STEM (approved only),95
September-Total Advising Meetings Held-Individual Advising Appointments,8
September-Total Advising Meetings Held-Drop-In Advising-Zoom,13
September-Total Advising Meetings Held-Drop-In Advising-In Person,5
September-Total Advising Meetings Held-Phone Call Advising (# of Zoom phone calls),104
September-Applications Processed-OPT Applications,0
September-Applications Processed-STEM Applications,0
September-Applications Processed-CPT Applications (outside the US counted),5
September-Applications Processed-Reinstatements (date paperwork processed),3
September-Applications Processed-Leave of Absence (date terminated),24
September-Applications Processed-Exchange Student Applications,0
September-Applications Processed-Transfer Out,0
September-Letters Issued-SSN Letters Issued,74
September-Letters Issued-Driver's License/State ID Letters Issued,17
September-Letters Issued-Invitation Letter,0
September-Letters Issued-Request for Visa Outside the US,0
September-Reporting-OPT Updates (pull from Formsite),28
September-Reporting-STEM Updates,9
September-Reporting-"I-20 Updates (address, change of name, major, etc)",12
September-Programming-Events held,4
October-Total Enrolled International Students-F1 Visa,904
October-Total Enrolled International Students-J1 Visa,2
October-Total Enrolled International Students-Other,10
October-Total Graduated Student Served-OPT (approved only),153
October-Total Graduated Student Served-STEM (approved only),93
October-Total Advising Meetings Held-Individual Advising Appointments,8
October-Total Advising Meetings Held-Drop-In Advising-Zoom,20
October-Total Advising Meetings Held-Drop-In Advising-In Person,2
October-Total Advising Meetings Held-Phone Call Advising (# of Zoom phone calls),66
October-Applications Processed-OPT Applications,1
October-Applications Processed-STEM Applications,0
October-Applications Processed-CPT Applications (outside the US counted),2
October-Applications Processed-Reinstatements (date paperwork processed),21
October-Applications Processed-Leave of Absence (date terminated),0
October-Applications Processed-Exchange Student Applications,0
October-Applications Processed-Transfer Out,0
October-Letters Issued-SSN Letters Issued,18
October-Letters Issued-Driver's License/State ID Letters Issued,26
October-Letters Issued-Invitation Letter,0
October-Letters Issued-Request for Visa Outside the US,1
October-Reporting-OPT Updates (pull from Formsite),43
October-Reporting-STEM Updates,16
October-Reporting-"I-20 Updates (address, change of name, major, etc)",10
October-Programming-Events held,6
Novermber-Total Enrolled International Students-F1 Visa,903
Novermber-Total Enrolled International Students-J1 Visa,2
Novermber-Total Enrolled International Students-Other,10
Novermber-Total Graduated Student Served-OPT (approved only),153
Novermber-Total Graduated Student Served-STEM (approved only),92
Novermber-Total Advising Meetings Held-Individual Advising Appointments,5
Novermber-Total Advising Meetings Held-Drop-In Advising-Zoom,11
Novermber-Total Advising Meetings Held-Drop-In Advising-In Person,4
Novermber-Total Advising Meetings Held-Phone Call Advising (# of Zoom phone calls),0
Novermber-Applications Processed-OPT Applications,44
Novermber-Applications Processed-STEM Applications,1
Novermber-Applications Processed-CPT Applications (outside the US counted),0
Novermber-Applications Processed-Reinstatements (date paperwork processed),3
